pc_send_ns,pc_ack_ns,ack_latency_ms,command_sent,ack_kind,esp_ms,rc,ack_command,raw_ack,hello
7759240487030,7759266587928,26.100898,"DRIVE,0,0",ACK,11221,0,"DRIVE,0,0","ACK,11221,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7759269350961,7759291370533,22.019572,"DRIVE,0,0",ACK,11248,0,"DRIVE,0,0","ACK,11248,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7759520162456,7759563226950,43.064494,"DRIVE,0,0",ACK,11524,0,"DRIVE,0,0","ACK,11524,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7759714951382,7759770191081,55.239699,QUEUE_STOP,ACK,11730,0,QUEUE_STOP,"ACK,11730,0,QUEUE_STOP","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7759774141609,7759855328170,81.186561,"DRIVE,0,0",ACK,11768,0,"DRIVE,0,0","ACK,11768,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7759914733044,7759973713491,58.980447,QUEUE_STOP,ACK,11934,0,QUEUE_STOP,"ACK,11934,0,QUEUE_STOP","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7759975777215,7759991261767,15.484552,"DRIVE,0,0",ACK,11949,0,"DRIVE,0,0","ACK,11949,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7760115582950,7760175994095,60.411145,QUEUE_STOP,ACK,12135,0,QUEUE_STOP,"ACK,12135,0,QUEUE_STOP","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7760178037479,7760206918917,28.881438,"DRIVE,0,0",ACK,12164,0,"DRIVE,0,0","ACK,12164,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7761015199423,7761111179153,95.979730,"DRIVE,0,0",ACK,13060,0,"DRIVE,0,0","ACK,13060,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7761314912956,7761408409241,93.496285,"DRIVE,0,0",ACK,13368,0,"DRIVE,0,0","ACK,13368,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7761515181071,7761540770621,25.589550,"DRIVE,0,0",ACK,13494,0,"DRIVE,0,0","ACK,13494,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7761916266374,7762119224039,202.957665,"DRIVE,0,0",ACK,14079,0,"DRIVE,0,0","ACK,14079,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7762123604179,7762146110772,22.506593,"DRIVE,0,0",ACK,14107,0,"DRIVE,0,0","ACK,14107,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7762515494980,7762766447504,250.952524,"DRIVE,0,0",ACK,14704,0,"DRIVE,0,0","ACK,14704,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7762770177956,7762926132997,155.955041,"DRIVE,0,0",ACK,14843,0,"DRIVE,0,0","ACK,14843,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7762998641474,7763041107887,42.466413,"DRIVE,0,0",ACK,15000,0,"DRIVE,0,0","ACK,15000,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7763335140141,7763657583883,322.443742,"DRIVE,0,0",ACK,15618,0,"DRIVE,0,0","ACK,15618,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7763660877276,7763692626222,31.748946,"DRIVE,0,0",ACK,15654,0,"DRIVE,0,0","ACK,15654,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7763919577897,7763979122441,59.544544,"DRIVE,0,0",ACK,15930,0,"DRIVE,0,0","ACK,15930,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7764314982842,7764378320511,63.337669,"DRIVE,0,0",ACK,16338,0,"DRIVE,0,0","ACK,16338,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7764714811682,7764789326361,74.514679,"DRIVE,0,0",ACK,16747,0,"DRIVE,0,0","ACK,16747,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7764914855937,7764979491296,64.635359,"DRIVE,0,0",ACK,16894,0,"DRIVE,0,0","ACK,16894,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7765115098834,7765178205542,63.106708,"DRIVE,0,0",ACK,17100,0,"DRIVE,0,0","ACK,17100,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7765514628907,7765609970882,95.341975,"DRIVE,0,0",ACK,17565,0,"DRIVE,0,0","ACK,17565,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
7765732231727,7765827702471,95.470744,"DRIVE,0,0",ACK,17713,0,"DRIVE,0,0","ACK,17713,0,DRIVE,0,0","HELLO,11164,wheeleg_tcp,172.20.10.4:23"
