# source=measured_disturbance_recovery_timeseries, provisional=false
trial_id,direction,t_s,pitch_deg,pitch_rate_deg_s,wheel_speed_rad_s,balance_enabled,protection_triggered
e2_forward_01,forward,-0.200,0.01715,0.0728,0.0000,1,0
e2_forward_01,forward,-0.180,-0.10155,-0.5602,0.0000,1,0
e2_forward_01,forward,-0.160,-0.08148,1.0719,0.0000,1,0
e2_forward_01,forward,-0.140,-0.10585,1.1351,0.0000,1,0
e2_forward_01,forward,-0.120,-0.00830,0.3128,0.0000,1,0
e2_forward_01,forward,-0.100,0.03279,-0.1353,0.0000,1,0
e2_forward_01,forward,-0.080,-0.17218,0.9850,0.0000,1,0
e2_forward_01,forward,-0.060,-0.06297,0.0095,0.0000,1,0
e2_forward_01,forward,-0.040,-0.08035,0.0245,0.0000,1,0
e2_forward_01,forward,-0.020,0.17721,-0.2623,0.0000,1,0
e2_forward_01,forward,0.000,8.90416,-9.7821,19.3729,1,0
e2_forward_01,forward,0.020,8.44806,-9.6111,18.8631,1,0
e2_forward_01,forward,0.040,8.17348,-8.3239,18.3667,1,0
e2_forward_01,forward,0.060,7.86068,-9.1011,17.8834,1,0
e2_forward_01,forward,0.080,7.19634,-6.9074,17.4129,1,0
e2_forward_01,forward,0.100,6.86060,-7.3239,16.9546,1,0
e2_forward_01,forward,0.120,6.44745,-7.0353,16.5085,1,0
e2_forward_01,forward,0.140,5.95291,-6.9695,16.0741,1,0
e2_forward_01,forward,0.160,5.74042,-6.5034,15.6511,1,0
e2_forward_01,forward,0.180,5.46094,-6.2708,15.2393,1,0
e2_forward_01,forward,0.200,5.08893,-5.2867,14.8383,1,0
e2_forward_01,forward,0.220,4.59488,-5.1813,14.4478,1,0
e2_forward_01,forward,0.240,4.17560,-3.5440,14.0676,1,0
e2_forward_01,forward,0.260,3.99054,-4.1835,13.6974,1,0
e2_forward_01,forward,0.280,3.37995,-4.2561,13.3370,1,0
e2_forward_01,forward,0.300,3.14961,-2.9294,12.9860,1,0
e2_forward_01,forward,0.320,2.84022,-2.4331,12.6443,1,0
e2_forward_01,forward,0.340,2.68759,-3.7644,12.3116,1,0
e2_forward_01,forward,0.360,2.24778,-1.6790,11.9876,1,0
e2_forward_01,forward,0.380,2.14057,-3.3316,11.6722,1,0
e2_forward_01,forward,0.400,1.72973,-1.3512,11.3650,1,0
e2_forward_01,forward,0.420,1.42708,-1.1519,11.0660,1,0
e2_forward_01,forward,0.440,1.16832,-1.1721,10.7748,1,0
e2_forward_01,forward,0.460,0.79860,-0.7873,10.4913,1,0
e2_forward_01,forward,0.480,0.91710,-0.5006,10.2152,1,0
e2_forward_01,forward,0.500,0.66254,-0.3179,9.9464,1,0
e2_forward_01,forward,0.520,0.35135,0.0250,9.6846,1,0
e2_forward_01,forward,0.540,0.30567,0.4178,9.4298,1,0
e2_forward_01,forward,0.560,0.05678,0.1662,9.1817,1,0
e2_forward_01,forward,0.580,0.03179,-0.0850,8.9401,1,0
e2_forward_01,forward,0.600,-0.36854,1.2586,8.7048,1,0
e2_forward_01,forward,0.620,-0.55128,1.1541,8.4757,1,0
e2_forward_01,forward,0.640,-0.24956,0.1039,8.2527,1,0
e2_forward_01,forward,0.660,-0.49169,-0.0478,8.0355,1,0
e2_forward_01,forward,0.680,-0.85359,0.8087,7.8241,1,0
e2_forward_01,forward,0.700,-0.90864,1.1489,7.6182,1,0
e2_forward_01,forward,0.720,-0.83753,-0.5909,7.4177,1,0
e2_forward_01,forward,0.740,-0.71617,1.4826,7.2226,1,0
e2_forward_01,forward,0.760,-0.88313,0.8312,7.0325,1,0
e2_forward_01,forward,0.780,-1.08063,1.2093,6.8474,1,0
e2_forward_01,forward,0.800,-1.15370,1.3141,6.6673,1,0
e2_forward_01,forward,0.820,-1.18532,1.0800,6.4918,1,0
e2_forward_01,forward,0.840,-1.38520,2.3157,6.3210,1,0
e2_forward_01,forward,0.860,-1.14294,1.0002,6.1547,1,0
e2_forward_01,forward,0.880,-1.27584,-0.2633,5.9927,1,0
e2_forward_01,forward,0.900,-1.31472,1.3401,5.8350,1,0
e2_forward_01,forward,0.920,-1.32435,1.0213,5.6815,1,0
e2_forward_01,forward,0.940,-1.32106,1.7864,5.5320,1,0
e2_forward_01,forward,0.960,-1.21895,2.2231,5.3864,1,0
e2_forward_01,forward,0.980,-1.16480,0.3629,5.2447,1,0
e2_forward_01,forward,1.000,-1.03262,1.2944,5.1066,1,0
e2_forward_01,forward,1.020,-1.25602,0.9331,4.9723,1,0
e2_forward_01,forward,1.040,-0.94223,0.5116,4.8414,1,0
e2_forward_01,forward,1.060,-0.92837,1.2484,4.7140,1,0
e2_forward_01,forward,1.080,-1.06019,1.1079,4.5900,1,0
e2_forward_01,forward,1.100,-1.11340,0.5276,4.4692,1,0
e2_forward_01,forward,1.120,-1.01744,0.3991,4.3516,1,0
e2_forward_01,forward,1.140,-0.87260,1.2106,4.2371,1,0
e2_forward_01,forward,1.160,-0.91413,1.8122,4.1256,1,0
e2_forward_01,forward,1.180,-0.75367,0.2318,4.0170,1,0
e2_forward_01,forward,1.200,-0.75482,1.1372,3.9113,1,0
e2_forward_01,forward,1.220,-0.83919,1.7667,3.8084,1,0
e2_forward_01,forward,1.240,-0.84291,1.6606,3.7082,1,0
e2_forward_01,forward,1.260,-0.53536,0.3527,3.6106,1,0
e2_forward_01,forward,1.280,-0.58030,-1.0154,3.5156,1,0
e2_forward_01,forward,1.300,-0.59487,0.1709,3.4231,1,0
e2_forward_01,forward,1.320,-0.60316,0.5720,3.3330,1,0
e2_forward_01,forward,1.340,-0.27862,0.6178,3.2453,1,0
e2_forward_01,forward,1.360,-0.47551,0.4185,3.1599,1,0
e2_forward_01,forward,1.380,-0.41124,1.9118,3.0768,1,0
e2_forward_01,forward,1.400,-0.38056,0.1686,2.9958,1,0
e2_forward_01,forward,1.420,-0.34813,0.5702,2.9170,1,0
e2_forward_01,forward,1.440,-0.46080,1.2301,2.8402,1,0
e2_forward_01,forward,1.460,-0.16156,0.9081,2.7655,1,0
e2_forward_01,forward,1.480,-0.41225,0.3363,2.6927,1,0
e2_forward_01,forward,1.500,0.03677,-0.2807,2.6218,1,0
e2_forward_01,forward,1.520,-0.13858,0.5158,2.5528,1,0
