trial_id,direction,success,settling_time_s,peak_pitch_deg,max_wheel_speed_rad_s,protection_triggered,provisional,source
e2_forward_01,forward,1,0.921,8.816,19.373,0,True,synthetic_planning_placeholder_not_measured
e2_forward_02,forward,1,0.779,8.180,18.756,0,True,synthetic_planning_placeholder_not_measured
e2_forward_03,forward,1,0.921,7.953,17.995,0,True,synthetic_planning_placeholder_not_measured
e2_forward_04,forward,1,0.920,9.353,20.432,0,True,synthetic_planning_placeholder_not_measured
e2_forward_05,forward,1,0.827,8.060,17.851,0,True,synthetic_planning_placeholder_not_measured
e2_forward_06,forward,1,0.933,9.642,19.720,0,True,synthetic_planning_placeholder_not_measured
e2_forward_07,forward,1,0.810,8.668,18.436,0,True,synthetic_planning_placeholder_not_measured
e2_forward_08,forward,1,0.859,9.004,19.757,0,True,synthetic_planning_placeholder_not_measured
e2_forward_09,forward,1,0.829,9.111,18.742,0,True,synthetic_planning_placeholder_not_measured
e2_forward_10,forward,0,NA,11.684,20.635,1,True,synthetic_planning_placeholder_not_measured
e2_backward_01,backward,1,0.781,8.448,19.551,0,True,synthetic_planning_placeholder_not_measured
e2_backward_02,backward,1,0.736,7.166,17.694,0,True,synthetic_planning_placeholder_not_measured
e2_backward_03,backward,1,0.733,7.301,17.196,0,True,synthetic_planning_placeholder_not_measured
e2_backward_04,backward,1,0.690,8.212,18.281,0,True,synthetic_planning_placeholder_not_measured
e2_backward_05,backward,1,0.919,7.230,17.233,0,True,synthetic_planning_placeholder_not_measured
e2_backward_06,backward,1,0.774,6.140,16.643,0,True,synthetic_planning_placeholder_not_measured
e2_backward_07,backward,1,0.793,7.093,16.407,0,True,synthetic_planning_placeholder_not_measured
e2_backward_08,backward,1,0.848,7.244,17.580,0,True,synthetic_planning_placeholder_not_measured
e2_backward_09,backward,1,0.791,7.596,16.984,0,True,synthetic_planning_placeholder_not_measured
e2_backward_10,backward,1,0.761,8.198,18.898,0,True,synthetic_planning_placeholder_not_measured
