trial_id,leg_setting,leg_length_m,t_s,pitch_deg,target_leg_m,balance_enabled,protection_triggered,provisional,source
e3_short_01,short,0.055,-0.200,-0.02523,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,-0.180,-0.06975,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,-0.160,-0.07462,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,-0.140,0.03312,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,-0.120,0.22030,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,-0.100,0.14800,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,-0.080,-0.14519,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,-0.060,-0.11887,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,-0.040,-0.04930,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,-0.020,0.11546,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.000,6.27995,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.020,6.03189,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.040,5.70630,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.060,5.44362,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.080,4.99196,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.100,4.73402,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.120,4.57033,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.140,4.01440,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.160,3.80912,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.180,3.66279,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.200,3.29921,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.220,2.84737,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.240,2.72018,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.260,2.37103,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.280,2.20958,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.300,2.23889,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.320,1.85580,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.340,1.66083,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.360,1.11971,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.380,1.19910,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.400,0.87304,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.420,0.96837,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.440,0.67971,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.460,0.52184,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.480,0.41026,0.055,1,0,True,synthetic_planning_placeholder_not_measured
e3_short_01,short,0.055,0.500,0.30377,0.055,1,0,True,synthetic_planning_placeholder_not_measured
