trial_id,command_type,t_s,cmd_speed_m_s,cmd_yaw_rad_s,measured_speed_m_s,measured_yaw_rad_s,pitch_deg,protection_triggered,provisional,source
speed_030,speed_step,-0.500,0.0000,0.0000,-0.0076,0.0163,-0.1221,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.480,0.0000,0.0000,0.0051,-0.0119,-0.0377,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.460,0.0000,0.0000,-0.0061,0.0154,-0.0401,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.440,0.0000,0.0000,0.0067,-0.0212,-0.1563,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.420,0.0000,0.0000,0.0009,-0.0143,0.0471,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.400,0.0000,0.0000,0.0041,0.0215,-0.2422,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.380,0.0000,0.0000,-0.0151,0.0229,0.0233,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.360,0.0000,0.0000,0.0022,0.0124,-0.1675,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.340,0.0000,0.0000,-0.0014,0.0108,-0.1443,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.320,0.0000,0.0000,-0.0064,0.0163,-0.0252,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.300,0.0000,0.0000,0.0197,0.0272,-0.0215,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.280,0.0000,0.0000,-0.0065,0.0089,0.1215,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.260,0.0000,0.0000,-0.0092,-0.0044,-0.0997,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.240,0.0000,0.0000,-0.0010,0.0022,0.1010,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.220,0.0000,0.0000,0.0093,0.0070,0.3248,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.200,0.0000,0.0000,0.0125,0.0012,0.0034,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.180,0.0000,0.0000,-0.0085,0.0255,-0.0822,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.160,0.0000,0.0000,-0.0026,-0.0142,-0.0731,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.140,0.0000,0.0000,0.0089,0.0091,0.3031,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.120,0.0000,0.0000,-0.0018,-0.0018,-0.1280,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.100,0.0000,0.0000,0.0045,-0.0044,0.0355,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.080,0.0000,0.0000,-0.0028,-0.0145,0.3391,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.060,0.0000,0.0000,-0.0007,0.0083,0.1103,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.040,0.0000,0.0000,-0.0084,0.0102,-0.1051,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,-0.020,0.0000,0.0000,-0.0099,-0.0400,0.2126,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.000,0.3000,0.0000,0.0031,-0.0196,-0.1746,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.020,0.3000,0.0000,0.0266,-0.0186,0.1980,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.040,0.3000,0.0000,0.0567,0.0044,0.5622,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.060,0.3000,0.0000,0.0952,-0.0008,0.6380,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.080,0.3000,0.0000,0.1079,0.0056,0.8297,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.100,0.3000,0.0000,0.1467,0.0013,0.9725,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.120,0.3000,0.0000,0.1618,0.0181,1.1188,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.140,0.3000,0.0000,0.1582,-0.0121,1.3598,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.160,0.3000,0.0000,0.1867,0.0245,1.3694,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.180,0.3000,0.0000,0.1826,0.0001,1.3289,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.200,0.3000,0.0000,0.2023,-0.0147,1.4147,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.220,0.3000,0.0000,0.2080,-0.0267,1.4524,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.240,0.3000,0.0000,0.2128,-0.0185,1.3361,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.260,0.3000,0.0000,0.2301,0.0286,1.5084,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.280,0.3000,0.0000,0.2208,-0.0027,1.3884,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.300,0.3000,0.0000,0.2384,0.0193,1.2971,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.320,0.3000,0.0000,0.2260,0.0079,1.0428,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.340,0.3000,0.0000,0.2654,0.0106,1.3089,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.360,0.3000,0.0000,0.2497,0.0303,1.1275,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.380,0.3000,0.0000,0.2690,-0.0190,1.3067,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.400,0.3000,0.0000,0.2624,0.0062,1.2443,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.420,0.3000,0.0000,0.2567,0.0290,0.9671,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.440,0.3000,0.0000,0.2597,0.0008,1.0200,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.460,0.3000,0.0000,0.2492,-0.0174,0.7183,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.480,0.3000,0.0000,0.2730,0.0010,0.7304,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.500,0.3000,0.0000,0.2363,0.0069,0.3826,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.520,0.3000,0.0000,0.2746,-0.0025,0.4263,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.540,0.3000,0.0000,0.2669,-0.0106,0.3388,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.560,0.3000,0.0000,0.2694,0.0145,0.3799,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.580,0.3000,0.0000,0.2653,-0.0024,0.1358,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.600,0.3000,0.0000,0.2738,0.0005,0.2228,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.620,0.3000,0.0000,0.2718,0.0084,0.0969,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.640,0.3000,0.0000,0.2711,0.0084,-0.1335,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.660,0.3000,0.0000,0.2591,0.0162,-0.0515,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.680,0.3000,0.0000,0.2587,-0.0104,-0.1434,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.700,0.3000,0.0000,0.2602,0.0076,-0.1963,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.720,0.3000,0.0000,0.2767,0.0120,-0.3320,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.740,0.3000,0.0000,0.2752,-0.0285,-0.4200,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.760,0.3000,0.0000,0.2599,0.0290,-0.2206,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.780,0.3000,0.0000,0.2428,-0.0190,-0.3514,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.800,0.3000,0.0000,0.2768,0.0023,-0.4540,0,True,synthetic_planning_placeholder_not_measured
speed_030,speed_step,0.820,0.3000,0.0000,0.2538,0.0185,-0.4135,0,True,synthetic_planning_placeholder_not_measured
