trial_id,case,step_command,stop_command,hello,baseline_send_ns,baseline_ack_ns,step_send_ns,step_ack_ns,step_ack_latency_ms,step_ack_kind,step_ack_rc,step_ack_command,stop_send_ns,stop_ack_ns,stop_ack_latency_ms,stop_ack_kind,stop_ack_rc,stop_ack_command,hold_s,provisional,notes
speed_150_01,speed_150,"DRIVE,150,0","DRIVE,0,0","HELLO,118970,wheeleg_tcp,172.20.10.4:23",3179012201491,3179087024700,3179290495494,3179318977380,28.481886,ACK,0,"DRIVE,150,0",3179819920037,3179910448189,90.528152,ACK,0,"DRIVE,0,0",0.5,False,E4a_command_entry_only_no_physical_speed_or_pitch_response
speed_150_02,speed_150,"DRIVE,150,0","DRIVE,0,0","HELLO,118970,wheeleg_tcp,172.20.10.4:23",3180225079315,3180310610372,3180511185376,3180628026807,116.841431,ACK,0,"DRIVE,150,0",3181128193733,3181248157608,119.963875,ACK,0,"DRIVE,0,0",0.5,False,E4a_command_entry_only_no_physical_speed_or_pitch_response
speed_150_03,speed_150,"DRIVE,150,0","DRIVE,0,0","HELLO,118970,wheeleg_tcp,172.20.10.4:23",3181557365823,3181575684212,3181776186379,3181850273267,74.086888,ACK,0,"DRIVE,150,0",3182357692045,3182467752603,110.060558,ACK,0,"DRIVE,0,0",0.5,False,E4a_command_entry_only_no_physical_speed_or_pitch_response
speed_150_04,speed_150,"DRIVE,150,0","DRIVE,0,0","HELLO,118970,wheeleg_tcp,172.20.10.4:23",3182786163294,3182809458139,3183010134001,3183080477971,70.34397,ACK,0,"DRIVE,150,0",3183581482949,3183697467205,115.984256,ACK,0,"DRIVE,0,0",0.5,False,E4a_command_entry_only_no_physical_speed_or_pitch_response
speed_150_05,speed_150,"DRIVE,150,0","DRIVE,0,0","HELLO,118970,wheeleg_tcp,172.20.10.4:23",3184013234865,3184089448149,3184289884480,3184420130688,130.246208,ACK,0,"DRIVE,150,0",3184920753681,3185027903791,107.15011,ACK,0,"DRIVE,0,0",0.5,False,E4a_command_entry_only_no_physical_speed_or_pitch_response
speed_250_01,speed_250,"DRIVE,250,0","DRIVE,0,0","HELLO,118970,wheeleg_tcp,172.20.10.4:23",3185329711125,3185345859685,3185546343925,3185642979511,96.635586,ACK,0,"DRIVE,250,0",3186143642629,3186258829118,115.186489,ACK,0,"DRIVE,0,0",0.5,False,E4a_command_entry_only_no_physical_speed_or_pitch_response
speed_250_02,speed_250,"DRIVE,250,0","DRIVE,0,0","HELLO,118970,wheeleg_tcp,172.20.10.4:23",3186568112818,3186593922396,3186794642472,3186979836186,185.193714,ACK,0,"DRIVE,250,0",3187480176222,3187692666894,212.490672,ACK,0,"DRIVE,0,0",0.5,False,E4a_command_entry_only_no_physical_speed_or_pitch_response
speed_250_03,speed_250,"DRIVE,250,0","DRIVE,0,0","HELLO,118970,wheeleg_tcp,172.20.10.4:23",3187978094995,3188008816346,3188209623999,3188308446793,98.822794,ACK,0,"DRIVE,250,0",3188809430343,3188933735347,124.305004,ACK,0,"DRIVE,0,0",0.5,False,E4a_command_entry_only_no_physical_speed_or_pitch_response
speed_250_04,speed_250,"DRIVE,250,0","DRIVE,0,0","HELLO,118970,wheeleg_tcp,172.20.10.4:23",3189219543753,3189244822584,3189445197219,3189536311383,91.114164,ACK,0,"DRIVE,250,0",3190038213212,3190148256862,110.04365,ACK,0,"DRIVE,0,0",0.5,False,E4a_command_entry_only_no_physical_speed_or_pitch_response
speed_250_05,speed_250,"DRIVE,250,0","DRIVE,0,0","HELLO,118970,wheeleg_tcp,172.20.10.4:23",3190454705264,3190477220487,3190677906290,3190740198452,62.292162,ACK,0,"DRIVE,250,0",3191242154016,3191373618487,131.464471,ACK,0,"DRIVE,0,0",0.5,False,E4a_command_entry_only_no_physical_speed_or_pitch_response
yaw_left_600_01,yaw_left_600,"DRIVE,0,600","DRIVE,0,0","HELLO,118970,wheeleg_tcp,172.20.10.4:23",3191692482907,3191763855050,3191964360669,3192091100638,126.739969,ACK,0,"DRIVE,0,600",3192592391120,3192717657555,125.266435,ACK,0,"DRIVE,0,0",0.5,False,E4a_command_entry_only_no_physical_speed_or_pitch_response
yaw_left_600_02,yaw_left_600,"DRIVE,0,600","DRIVE,0,0","HELLO,118970,wheeleg_tcp,172.20.10.4:23",3193013059273,3193051565661,3193252359587,3193322590743,70.231156,ACK,0,"DRIVE,0,600",3193824703305,3193929837675,105.13437,ACK,0,"DRIVE,0,0",0.5,False,E4a_command_entry_only_no_physical_speed_or_pitch_response
yaw_left_600_03,yaw_left_600,"DRIVE,0,600","DRIVE,0,0","HELLO,118970,wheeleg_tcp,172.20.10.4:23",3194218473866,3194341388040,3194541911583,3194647126061,105.214478,ACK,0,"DRIVE,0,600",3195148558678,3195264485546,115.926868,ACK,0,"DRIVE,0,0",0.5,False,E4a_command_entry_only_no_physical_speed_or_pitch_response
yaw_left_600_04,yaw_left_600,"DRIVE,0,600","DRIVE,0,0","HELLO,118970,wheeleg_tcp,172.20.10.4:23",3195579443144,3195655616614,3195856320129,3195982272668,125.952539,ACK,0,"DRIVE,0,600",3196483189530,3196617513203,134.323673,ACK,0,"DRIVE,0,0",0.5,False,E4a_command_entry_only_no_physical_speed_or_pitch_response
yaw_left_600_05,yaw_left_600,"DRIVE,0,600","DRIVE,0,0","HELLO,118970,wheeleg_tcp,172.20.10.4:23",3196922995049,3196990666352,3197191008947,3197324657279,133.648332,ACK,0,"DRIVE,0,600",3197825365023,3197922908074,97.543051,ACK,0,"DRIVE,0,0",0.5,False,E4a_command_entry_only_no_physical_speed_or_pitch_response
yaw_right_600_01,yaw_right_600,"DRIVE,0,-600","DRIVE,0,0","HELLO,118970,wheeleg_tcp,172.20.10.4:23",3198157675866,3198237747626,3198438113118,3198543889366,105.776248,ACK,0,"DRIVE,0,-600",3199044582430,3199168456944,123.874514,ACK,0,"DRIVE,0,0",0.5,False,E4a_command_entry_only_no_physical_speed_or_pitch_response
yaw_right_600_02,yaw_right_600,"DRIVE,0,-600","DRIVE,0,0","HELLO,118970,wheeleg_tcp,172.20.10.4:23",3199460177898,3199493035741,3199693748704,3199776339990,82.591286,ACK,0,"DRIVE,0,-600",3200277157085,3200388938414,111.781329,ACK,0,"DRIVE,0,0",0.5,False,E4a_command_entry_only_no_physical_speed_or_pitch_response
yaw_right_600_03,yaw_right_600,"DRIVE,0,-600","DRIVE,0,0","HELLO,118970,wheeleg_tcp,172.20.10.4:23",3200684990363,3200718783634,3200919289055,3200980436924,61.147869,ACK,0,"DRIVE,0,-600",3201481099978,3201615323546,134.223568,ACK,0,"DRIVE,0,0",0.5,False,E4a_command_entry_only_no_physical_speed_or_pitch_response
yaw_right_600_04,yaw_right_600,"DRIVE,0,-600","DRIVE,0,0","HELLO,118970,wheeleg_tcp,172.20.10.4:23",3201928926980,3201946971705,3202148015797,3202208171873,60.156076,ACK,0,"DRIVE,0,-600",3202709669587,3202841328427,131.65884,ACK,0,"DRIVE,0,0",0.5,False,E4a_command_entry_only_no_physical_speed_or_pitch_response
yaw_right_600_05,yaw_right_600,"DRIVE,0,-600","DRIVE,0,0","HELLO,118970,wheeleg_tcp,172.20.10.4:23",3203143453193,3203168462645,3203368862293,3203452724269,83.861976,ACK,0,"DRIVE,0,-600",3203953391215,3204071289671,117.898456,ACK,0,"DRIVE,0,0",0.5,False,E4a_command_entry_only_no_physical_speed_or_pitch_response
