# source=measured_tcp_ack, provisional=false, host=172.20.10.4, port=23, command=DRIVE_0_0, hello=HELLO,43723,wheeleg_tcp,172.20.10.4:23
trial,pc_send_ns,pc_ack_ns,rtt_ms,ack_kind,esp_ms,rc,command_sent,command_ack,raw_line
1,4031089298477,4031153766809,64.468332,ACK,43751,0,"DRIVE,0,0","DRIVE,0,0","ACK,43751,0,DRIVE,0,0"
2,4031153791573,4031180841391,27.049818,ACK,43818,0,"DRIVE,0,0","DRIVE,0,0","ACK,43818,0,DRIVE,0,0"
3,4031180869184,4031207791254,26.92207,ACK,43844,0,"DRIVE,0,0","DRIVE,0,0","ACK,43844,0,DRIVE,0,0"
4,4031207814059,4031272452459,64.6384,ACK,43914,0,"DRIVE,0,0","DRIVE,0,0","ACK,43914,0,DRIVE,0,0"
5,4031272478548,4031299697003,27.218455,ACK,43941,0,"DRIVE,0,0","DRIVE,0,0","ACK,43941,0,DRIVE,0,0"
6,4031299723131,4031382980149,83.257018,ACK,44018,0,"DRIVE,0,0","DRIVE,0,0","ACK,44018,0,DRIVE,0,0"
7,4031383008613,4031464227477,81.218864,ACK,44045,0,"DRIVE,0,0","DRIVE,0,0","ACK,44045,0,DRIVE,0,0"
8,4031464248325,4031491958311,27.709986,ACK,44122,0,"DRIVE,0,0","DRIVE,0,0","ACK,44122,0,DRIVE,0,0"
9,4031491978639,4031570393986,78.415347,ACK,44160,0,"DRIVE,0,0","DRIVE,0,0","ACK,44160,0,DRIVE,0,0"
10,4031570415711,4031589678930,19.263219,ACK,44230,0,"DRIVE,0,0","DRIVE,0,0","ACK,44230,0,DRIVE,0,0"
11,4031589699441,4031623229419,33.529978,ACK,44257,0,"DRIVE,0,0","DRIVE,0,0","ACK,44257,0,DRIVE,0,0"
12,4031623253249,4031677488603,54.235354,ACK,44322,0,"DRIVE,0,0","DRIVE,0,0","ACK,44322,0,DRIVE,0,0"
13,4031677540402,4031696389413,18.849011,ACK,44339,0,"DRIVE,0,0","DRIVE,0,0","ACK,44339,0,DRIVE,0,0"
14,4031696415369,4031767351428,70.936059,ACK,44368,0,"DRIVE,0,0","DRIVE,0,0","ACK,44368,0,DRIVE,0,0"
15,4031767379077,4031796347992,28.968915,ACK,44435,0,"DRIVE,0,0","DRIVE,0,0","ACK,44435,0,DRIVE,0,0"
16,4031796380348,4031812209535,15.829187,ACK,44452,0,"DRIVE,0,0","DRIVE,0,0","ACK,44452,0,DRIVE,0,0"
17,4031812263371,4031886991550,74.728179,ACK,44531,0,"DRIVE,0,0","DRIVE,0,0","ACK,44531,0,DRIVE,0,0"
18,4031887019736,4031912223433,25.203697,ACK,44549,0,"DRIVE,0,0","DRIVE,0,0","ACK,44549,0,DRIVE,0,0"
19,4031912249130,4031997792816,85.543686,ACK,44625,0,"DRIVE,0,0","DRIVE,0,0","ACK,44625,0,DRIVE,0,0"
20,4031997819841,4032019588986,21.769145,ACK,44662,0,"DRIVE,0,0","DRIVE,0,0","ACK,44662,0,DRIVE,0,0"
21,4032019614216,4032088217612,68.603396,ACK,44730,0,"DRIVE,0,0","DRIVE,0,0","ACK,44730,0,DRIVE,0,0"
22,4032088242170,4032104700468,16.458298,ACK,44747,0,"DRIVE,0,0","DRIVE,0,0","ACK,44747,0,DRIVE,0,0"
23,4032104732229,4032152921119,48.18889,ACK,44762,0,"DRIVE,0,0","DRIVE,0,0","ACK,44762,0,DRIVE,0,0"
24,4032152945604,4032207269375,54.323771,ACK,44840,0,"DRIVE,0,0","DRIVE,0,0","ACK,44840,0,DRIVE,0,0"
25,4032207295437,4032225633654,18.338217,ACK,44867,0,"DRIVE,0,0","DRIVE,0,0","ACK,44867,0,DRIVE,0,0"
26,4032225684860,4032306462117,80.777257,ACK,44942,0,"DRIVE,0,0","DRIVE,0,0","ACK,44942,0,DRIVE,0,0"
27,4032306490723,4032328897962,22.407239,ACK,44969,0,"DRIVE,0,0","DRIVE,0,0","ACK,44969,0,DRIVE,0,0"
28,4032328924795,4032396776512,67.851717,ACK,45038,0,"DRIVE,0,0","DRIVE,0,0","ACK,45038,0,DRIVE,0,0"
29,4032396815847,4032509706633,112.890786,ACK,45144,0,"DRIVE,0,0","DRIVE,0,0","ACK,45144,0,DRIVE,0,0"
30,4032509730862,4032527967192,18.23633,ACK,45172,0,"DRIVE,0,0","DRIVE,0,0","ACK,45172,0,DRIVE,0,0"
31,4032527991237,4032592494231,64.502994,ACK,45198,0,"DRIVE,0,0","DRIVE,0,0","ACK,45198,0,DRIVE,0,0"
32,4032592523649,4032615506042,22.982393,ACK,45254,0,"DRIVE,0,0","DRIVE,0,0","ACK,45254,0,DRIVE,0,0"
33,4032615602417,4032642074921,26.472504,ACK,45280,0,"DRIVE,0,0","DRIVE,0,0","ACK,45280,0,DRIVE,0,0"
34,4032642103573,4032706485300,64.381727,ACK,45347,0,"DRIVE,0,0","DRIVE,0,0","ACK,45347,0,DRIVE,0,0"
35,4032706509317,4032743528717,37.0194,ACK,45374,0,"DRIVE,0,0","DRIVE,0,0","ACK,45374,0,DRIVE,0,0"
36,4032743553739,4032821099787,77.546048,ACK,45451,0,"DRIVE,0,0","DRIVE,0,0","ACK,45451,0,DRIVE,0,0"
37,4032821126783,4032893804386,72.677603,ACK,45488,0,"DRIVE,0,0","DRIVE,0,0","ACK,45488,0,DRIVE,0,0"
38,4032893831363,4032927267361,33.435998,ACK,45565,0,"DRIVE,0,0","DRIVE,0,0","ACK,45565,0,DRIVE,0,0"
39,4032927290245,4033000286307,72.996062,ACK,45592,0,"DRIVE,0,0","DRIVE,0,0","ACK,45592,0,DRIVE,0,0"
40,4033000340181,4033048013197,47.673016,ACK,45681,0,"DRIVE,0,0","DRIVE,0,0","ACK,45681,0,DRIVE,0,0"
41,4033048039567,4033114833337,66.79377,ACK,45758,0,"DRIVE,0,0","DRIVE,0,0","ACK,45758,0,DRIVE,0,0"
42,4033114863512,4033134139868,19.276356,ACK,45774,0,"DRIVE,0,0","DRIVE,0,0","ACK,45774,0,DRIVE,0,0"
43,4033134167203,4033212738817,78.571614,ACK,45811,0,"DRIVE,0,0","DRIVE,0,0","ACK,45811,0,DRIVE,0,0"
44,4033212761075,4033258510831,45.749756,ACK,45888,0,"DRIVE,0,0","DRIVE,0,0","ACK,45888,0,DRIVE,0,0"
45,4033258536040,4033447780620,189.24458,ACK,46006,0,"DRIVE,0,0","DRIVE,0,0","ACK,46006,0,DRIVE,0,0"
46,4033447803211,4033509854087,62.050876,ACK,46112,0,"DRIVE,0,0","DRIVE,0,0","ACK,46112,0,DRIVE,0,0"
47,4033509874328,4033544892067,35.017739,ACK,46181,0,"DRIVE,0,0","DRIVE,0,0","ACK,46181,0,DRIVE,0,0"
48,4033544915884,4033623709862,78.793978,ACK,46208,0,"DRIVE,0,0","DRIVE,0,0","ACK,46208,0,DRIVE,0,0"
49,4033623749562,4033667345959,43.596397,ACK,46285,0,"DRIVE,0,0","DRIVE,0,0","ACK,46285,0,DRIVE,0,0"
50,4033667371503,4033730189129,62.817626,ACK,46372,0,"DRIVE,0,0","DRIVE,0,0","ACK,46372,0,DRIVE,0,0"
51,4033730243811,4033873250147,143.006336,ACK,46489,0,"DRIVE,0,0","DRIVE,0,0","ACK,46489,0,DRIVE,0,0"
52,4033873277268,4033934520722,61.243454,ACK,46575,0,"DRIVE,0,0","DRIVE,0,0","ACK,46575,0,DRIVE,0,0"
53,4033934560412,4033956180705,21.620293,ACK,46592,0,"DRIVE,0,0","DRIVE,0,0","ACK,46592,0,DRIVE,0,0"
54,4033956211107,4034029052645,72.841538,ACK,46620,0,"DRIVE,0,0","DRIVE,0,0","ACK,46620,0,DRIVE,0,0"
55,4034029078930,4034052355260,23.27633,ACK,46687,0,"DRIVE,0,0","DRIVE,0,0","ACK,46687,0,DRIVE,0,0"
56,4034052382141,4034172342587,119.960446,ACK,46725,0,"DRIVE,0,0","DRIVE,0,0","ACK,46725,0,DRIVE,0,0"
57,4034172371222,4034247035955,74.664733,ACK,46883,0,"DRIVE,0,0","DRIVE,0,0","ACK,46883,0,DRIVE,0,0"
58,4034247061663,4034351889033,104.82737,ACK,46991,0,"DRIVE,0,0","DRIVE,0,0","ACK,46991,0,DRIVE,0,0"
59,4034351918782,4034430302998,78.384216,ACK,47027,0,"DRIVE,0,0","DRIVE,0,0","ACK,47027,0,DRIVE,0,0"
60,4034430331796,4034565891146,135.55935,ACK,47095,0,"DRIVE,0,0","DRIVE,0,0","ACK,47095,0,DRIVE,0,0"
61,4034565924800,4034637287931,71.363131,ACK,47234,0,"DRIVE,0,0","DRIVE,0,0","ACK,47234,0,DRIVE,0,0"
62,4034637314618,4034690089114,52.774496,ACK,47323,0,"DRIVE,0,0","DRIVE,0,0","ACK,47323,0,DRIVE,0,0"
63,4034690119151,4034754793175,64.674024,ACK,47390,0,"DRIVE,0,0","DRIVE,0,0","ACK,47390,0,DRIVE,0,0"
64,4034754821916,4034777591630,22.769714,ACK,47417,0,"DRIVE,0,0","DRIVE,0,0","ACK,47417,0,DRIVE,0,0"
65,4034777636717,4034854481233,76.844516,ACK,47444,0,"DRIVE,0,0","DRIVE,0,0","ACK,47444,0,DRIVE,0,0"
66,4034854527542,4034882946131,28.418589,ACK,47522,0,"DRIVE,0,0","DRIVE,0,0","ACK,47522,0,DRIVE,0,0"
67,4034882974143,4034944821029,61.846886,ACK,47549,0,"DRIVE,0,0","DRIVE,0,0","ACK,47549,0,DRIVE,0,0"
68,4034944847122,4034974021888,29.174766,ACK,47605,0,"DRIVE,0,0","DRIVE,0,0","ACK,47605,0,DRIVE,0,0"
69,4034974049668,4035067310773,93.261105,ACK,47643,0,"DRIVE,0,0","DRIVE,0,0","ACK,47643,0,DRIVE,0,0"
70,4035067332922,4035090155939,22.823017,ACK,47732,0,"DRIVE,0,0","DRIVE,0,0","ACK,47732,0,DRIVE,0,0"
71,4035090180969,4035192294526,102.113557,ACK,47819,0,"DRIVE,0,0","DRIVE,0,0","ACK,47819,0,DRIVE,0,0"
72,4035192320604,4035266514203,74.193599,ACK,47855,0,"DRIVE,0,0","DRIVE,0,0","ACK,47855,0,DRIVE,0,0"
73,4035266538953,4035288820481,22.281528,ACK,47932,0,"DRIVE,0,0","DRIVE,0,0","ACK,47932,0,DRIVE,0,0"
74,4035288848029,4035353620166,64.772137,ACK,47949,0,"DRIVE,0,0","DRIVE,0,0","ACK,47949,0,DRIVE,0,0"
75,4035353647605,4035374926070,21.278465,ACK,48015,0,"DRIVE,0,0","DRIVE,0,0","ACK,48015,0,DRIVE,0,0"
76,4035374952560,4035400234131,25.281571,ACK,48043,0,"DRIVE,0,0","DRIVE,0,0","ACK,48043,0,DRIVE,0,0"
77,4035400259036,4035483043975,82.784939,ACK,48120,0,"DRIVE,0,0","DRIVE,0,0","ACK,48120,0,DRIVE,0,0"
