# source=measured_direct_drive_watchdog, provisional=false
trial,command,hello,ack,pc_send_ns,pc_ack_ns,serial_event_ns,send_to_watchdog_ms,ack_to_watchdog_ms,event_found,event_line
1,"DRIVE,250,0","HELLO,9182,wheeleg_tcp,172.20.10.4:23","ACK,9209,0,DRIVE,250,0",6063531658696,6063599559793,6064078394774,546.736078,478.834981,True,DRIVE watchdog: direct teleop stopped
2,"DRIVE,250,0","HELLO,10711,wheeleg_tcp,172.20.10.4:23","ACK,10739,0,DRIVE,250,0",6065057323938,6065137273168,6065628025520,570.701582,490.752352,True,DRIVE watchdog: direct teleop stopped
3,"DRIVE,250,0","HELLO,12152,wheeleg_tcp,172.20.10.4:23","ACK,12241,0,DRIVE,250,0",6066502679013,6066589661552,6067128379767,625.700754,538.718215,True,DRIVE watchdog: direct teleop stopped
4,"DRIVE,250,0","HELLO,13705,wheeleg_tcp,172.20.10.4:23","ACK,13773,0,DRIVE,250,0",6068054294864,6068117953692,6068628672536,574.377672,510.718844,True,DRIVE watchdog: direct teleop stopped
5,"DRIVE,250,0","HELLO,15128,wheeleg_tcp,172.20.10.4:23","ACK,15206,0,DRIVE,250,0",6069483055291,6069551843466,6070078934846,595.879555,527.09138,True,DRIVE watchdog: direct teleop stopped
6,"DRIVE,250,0","HELLO,16468,wheeleg_tcp,172.20.10.4:23","ACK,16546,0,DRIVE,250,0",6070814956974,6070890561695,6071429366416,614.409442,538.804721,True,DRIVE watchdog: direct teleop stopped
7,"DRIVE,250,0","HELLO,17798,wheeleg_tcp,172.20.10.4:23","ACK,17886,0,DRIVE,250,0",6072144983628,6072235263840,6072728864159,583.880531,493.600319,True,DRIVE watchdog: direct teleop stopped
8,"DRIVE,250,0","HELLO,19128,wheeleg_tcp,172.20.10.4:23","ACK,19208,0,DRIVE,250,0",6073478693003,6073553807916,6074078943607,600.250604,525.135691,True,DRIVE watchdog: direct teleop stopped
9,"DRIVE,250,0","HELLO,20476,wheeleg_tcp,172.20.10.4:23","ACK,20544,0,DRIVE,250,0",6074868971647,6074890434343,6075429239696,560.268049,538.805353,True,DRIVE watchdog: direct teleop stopped
10,"DRIVE,250,0","HELLO,21780,wheeleg_tcp,172.20.10.4:23","ACK,21867,0,DRIVE,250,0",6076130975200,6076223212846,6076729400947,598.425747,506.188101,True,DRIVE watchdog: direct teleop stopped
