# source=synthetic_planning_placeholder_not_measured, provisional=true
# intended_use=fault_timeline_and_safety_table_layout_only
trial,fault_case,success,stop_latency_ms,correct_stop_sequence,notes
SS01,stop_sending,1,498,1,"replace with measured"
SS02,stop_sending,1,506,1,"replace with measured"
SS03,stop_sending,1,514,1,"replace with measured"
SS04,stop_sending,1,521,1,"replace with measured"
SS05,stop_sending,1,509,1,"replace with measured"
SS06,stop_sending,1,517,1,"replace with measured"
SS07,stop_sending,1,528,1,"replace with measured"
SS08,stop_sending,1,511,1,"replace with measured"
SS09,stop_sending,1,535,1,"replace with measured"
SS10,stop_sending,1,504,1,"replace with measured"
TC01,tcp_close,1,72,1,"replace with measured"
TC02,tcp_close,1,84,1,"replace with measured"
TC03,tcp_close,1,91,1,"replace with measured"
TC04,tcp_close,1,80,1,"replace with measured"
TC05,tcp_close,1,88,1,"replace with measured"
TI01,tcp_idle,1,1488,1,"replace with measured"
TI02,tcp_idle,1,1506,1,"replace with measured"
TI03,tcp_idle,1,1518,1,"replace with measured"
TI04,tcp_idle,1,1540,1,"replace with measured"
TI05,tcp_idle,1,1497,1,"replace with measured"
