# source=measured_ctrl_looplog_tcp, provisional=false
# hello_start=HELLO,4007,wheeleg_tcp,172.20.10.4:23
# start_ack=ACK,4046,0,LOOPLOG_START,15000
# wait_s=65.0
# hello_dump=HELLO,70102,wheeleg_tcp,172.20.10.4:23
# keepalive_interval=0.75
# keepalive_acks=76
# chunk_size=500
# chunks=8
# dump_begin=LOOPLOG_DUMP_BEGIN,15000,unit_us,0,500
# dump_end=LOOPLOG_DUMP_END,0,0,0
# dump_ack=ACK,8358,0,LOOPLOG_DUMP_TCP,3000,500
idx,dt_us
0,6489
1,50
2,2880
3,4008
4,4043
5,3957
6,3993
7,4007
8,3996
9,4067
10,3933
11,4000
12,4000
13,4020
14,4517
15,3464
16,4000
17,4817
18,3182
19,4059
20,3941
21,3997
22,4004
23,3999
24,4047
25,3953
26,3997
27,4118
28,4334
29,3598
30,3953
31,3997
32,4003
33,4000
34,4059
35,3941
36,3998
37,4002
38,5097
39,2962
40,4211
41,3723
42,4007
43,3997
44,4050
45,3949
46,4001
47,3999
48,4005
49,4042
50,3958
51,3992
52,4007
53,4004
54,4059
55,3937
56,3997
57,4004
58,3999
59,4059
60,3941
61,3997
62,4003
63,4000
64,4098
65,3906
66,4029
67,3971
68,4004
69,4043
70,3953
71,3998
72,4002
73,4002
74,4045
75,3953
76,3998
77,4002
78,4000
79,4173
80,3827
81,3997
82,4003
83,4001
84,4062
85,3938
86,3996
87,4003
88,4000
89,4047
90,5622
91,3978
92,2346
93,4003
94,4051
95,3949
96,3997
97,4003
98,4001
99,4046
100,3953
101,3997
102,4003
103,4000
104,4055
105,3945
106,3998
107,4002
108,4001
109,4058
110,3941
111,3997
112,4003
113,4001
114,4046
115,3961
116,3993
117,4042
118,3962
119,4046
120,3954
121,3996
122,4003
123,4001
124,4046
125,3954
126,3996
127,4003
128,4001
129,4050
130,3949
131,3997
132,4004
133,4000
134,4058
135,3941
136,3997
137,4003
138,4004
139,4047
140,3949
141,3994
142,5414
143,2587
144,4060
145,3941
146,3997
147,4003
148,4001
149,4046
150,3953
151,3997
152,4003
153,4328
154,3727
155,3942
156,4000
157,4003
158,4001
159,4062
160,3933
161,4001
162,4004
163,4008
164,4046
165,3941
166,4370
167,3639
168,4372
169,3686
170,3937
171,4001
172,4003
173,4004
174,4047
175,3945
176,4002
177,4002
178,4001
179,4050
180,3945
181,4031
182,3989
183,3984
184,4063
185,3933
186,4001
187,4007
188,3998
189,4049
190,3946
191,4000
192,3999
193,4000
194,4107
195,3889
196,4137
197,8017
198,144
199,3773
200,3954
201,3979
202,4005
203,4002
204,4044
205,3954
206,4626
207,3744
208,3628
209,4064
210,3938
211,3996
212,4003
213,4001
214,4046
215,3954
216,4007
217,3992
218,4006
219,5475
220,2508
221,4007
222,4004
223,3998
224,4049
225,3955
226,3994
227,4004
228,4005
229,4042
230,3955
231,3994
232,4013
233,3991
234,4062
235,3939
236,3995
237,4005
238,4001
239,4045
240,3954
241,3995
242,4004
243,4003
244,4048
245,3988
246,3958
247,4003
248,3998
249,4049
250,3954
251,3996
252,4003
253,4000
254,4051
255,3950
256,3995
257,4004
258,3999
259,4060
260,3947
261,3990
262,4004
263,4004
264,4047
265,3951
266,3994
267,4005
268,3999
269,4047
270,3950
271,3995
272,4004
273,3998
274,4049
275,3954
276,3995
277,4004
278,4005
279,4046
280,3946
281,4000
282,4003
283,4008
284,4465
285,3524
286,3999
287,4004
288,4006
289,4049
290,3942
291,3999
292,4004
293,3998
294,4276
295,3728
296,3998
297,4004
298,4000
299,4051
300,3947
301,3998
302,4005
303,4008
304,4042
305,3946
306,3999
307,4005
308,3999
309,4063
310,3934
311,3999
312,4007
313,3996
314,4052
315,3946
316,4000
317,4003
318,3998
319,4053
320,3942
321,3999
322,4004
323,3998
324,4053
325,3946
326,3999
327,4004
328,4000
329,4051
330,3947
331,3998
332,4004
333,4000
334,4067
335,4340
336,3589
337,4005
338,4001
339,4049
340,3946
341,4003
342,4000
343,3998
344,4053
345,3950
346,3995
347,4004
348,3998
349,4049
350,3954
351,3996
352,4003
353,4001
354,4046
355,3954
356,3995
357,4004
358,3999
359,4060
360,3942
361,3999
362,4000
363,3998
364,4049
365,5272
366,2673
367,4008
368,3999
369,4048
370,3954
371,4183
372,3821
373,3997
374,4049
375,3954
376,3995
377,4005
378,4004
379,4042
380,3954
381,3995
382,4004
383,3999
384,4060
385,3942
386,3996
387,4003
388,3998
389,4049
390,3954
391,3996
392,4003
393,3999
394,4060
395,3942
396,3995
397,4000
398,3998
399,4049
400,3955
401,3994
402,4004
403,4005
404,4046
405,3946
406,3999
407,4005
408,3999
409,4067
410,3930
411,4003
412,4159
413,3841
414,4051
415,3946
416,3999
417,4004
418,3998
419,4057
420,3942
421,4000
422,4167
423,3838
424,4057
425,3942
426,4000
427,4003
428,4004
429,4047
430,3946
431,3999
432,4004
433,3999
434,4064
435,3935
436,3998
437,4004
438,4001
439,4050
440,3947
441,3998
442,4005
443,3999
444,4051
445,3946
446,3999
447,4005
448,3993
449,4061
450,3938
451,3999
452,4004
453,4006
454,4045
455,3946
456,4000
457,4003
458,3999
459,4064
460,3934
461,3999
462,4004
463,4570
464,3481
465,3946
466,4003
467,4000
468,3998
469,4049
470,3955
471,3994
472,4004
473,3999
474,4052
475,7008
476,2619
477,2326
478,3994
479,7702
480,313
481,3987
482,4021
483,3981
484,4065
485,3937
486,3996
487,4005
488,4011
489,4117
490,3871
491,3997
492,4004
493,4003
494,4043
495,3953
496,3997
497,4004
498,3997
499,17296
500,42
501,11
502,10
503,2636
504,4070
505,3934
506,3999
507,4000
508,4054
509,5409
510,2542
511,3991
512,4001
513,5235
514,3186
515,3682
516,3896
517,4009
518,3993
519,4053
520,3950
521,3999
522,4000
523,4003
524,4044
525,4873
526,5922
527,1166
528,4004
529,4035
530,3953
531,4001
532,4003
533,4001
534,4062
535,3933
536,4000
537,4004
538,4000
539,4051
540,5577
541,2360
542,4012
543,4002
544,4049
545,3946
546,3999
547,4005
548,4003
549,4051
550,4430
551,3511
552,4921
553,3085
554,4041
555,3953
556,4000
557,4004
558,4005
559,4058
560,3933
561,4001
562,4003
563,4001
564,4050
565,3945
566,4001
567,4003
568,4000
569,4051
570,3945
571,4000
572,4004
573,4001
