# source=measured_ctrl_looplog_tcp_histogram, provisional=false
# bin_width_us=100
bin_start_us,bin_end_us,count
0,100,89
100,200,4
300,400,1
400,500,3
500,600,5
600,700,4
700,800,3
800,900,1
900,1000,5
1000,1100,2
1100,1200,2
1200,1300,3
1300,1400,7
1400,1500,4
1500,1600,13
1600,1700,12
1700,1800,9
1800,1900,9
1900,2000,23
2000,2100,19
2100,2200,12
2200,2300,18
2300,2400,17
2400,2500,17
2500,2600,25
2600,2700,25
2700,2800,21
2800,2900,34
2900,3000,41
3000,3100,13
3100,3200,35
3200,3300,65
3300,3400,69
3400,3500,57
3500,3600,77
3600,3700,155
3700,3800,539
3800,3900,548
3900,4000,5489
4000,4100,5673
4100,4200,422
4200,4300,635
4300,4400,156
4400,4500,76
4500,4600,61
4600,4700,59
4700,4800,56
4800,4900,41
4900,5000,20
5000,5100,40
5100,5200,33
5200,5300,23
5300,5400,29
5400,5500,24
5500,5600,10
5600,5700,19
5700,5800,18
5800,5900,18
5900,6000,17
6000,6100,15
6100,6200,10
6200,6300,9
6300,6400,5
6400,6500,10
6500,6600,3
6600,6700,3
6700,6800,4
6800,6900,1
6900,7000,1
7000,7100,1
7100,7200,7
7200,7300,1
7300,7400,1
7400,7500,2
7500,7600,2
7600,7700,1
7700,7800,1
7900,8000,1
9000,9100,1
10600,10700,1
12600,12700,1
21800,21900,1
25500,25600,13
