# source=measured_controller_ablation_timeseries, provisional=false
trial_id,mode,t_s,pitch_deg,command_speed_m_s,protection_triggered
e9_full_01,FULL,-0.200,0.05324,0.000,0
e9_full_01,FULL,-0.180,0.25269,0.000,0
e9_full_01,FULL,-0.160,0.00492,0.000,0
e9_full_01,FULL,-0.140,-0.07872,0.000,0
e9_full_01,FULL,-0.120,0.05644,0.000,0
e9_full_01,FULL,-0.100,-0.01040,0.000,0
e9_full_01,FULL,-0.080,-0.21195,0.000,0
e9_full_01,FULL,-0.060,0.13078,0.000,0
e9_full_01,FULL,-0.040,0.01496,0.000,0
e9_full_01,FULL,-0.020,0.11159,0.000,0
e9_full_01,FULL,0.000,7.45779,0.000,0
e9_full_01,FULL,0.020,7.17271,0.000,0
e9_full_01,FULL,0.040,6.77008,0.000,0
e9_full_01,FULL,0.060,6.51051,0.000,0
e9_full_01,FULL,0.080,6.08635,0.000,0
e9_full_01,FULL,0.100,5.77711,0.000,0
e9_full_01,FULL,0.120,5.23700,0.000,0
e9_full_01,FULL,0.140,5.04894,0.000,0
e9_full_01,FULL,0.160,4.81932,0.000,0
e9_full_01,FULL,0.180,4.33380,0.000,0
e9_full_01,FULL,0.200,4.10808,0.000,0
e9_full_01,FULL,0.220,3.38328,0.000,0
e9_full_01,FULL,0.240,3.53429,0.000,0
e9_full_01,FULL,0.260,3.11712,0.000,0
e9_full_01,FULL,0.280,2.65100,0.000,0
e9_full_01,FULL,0.300,2.54331,0.000,0
e9_full_01,FULL,0.320,2.10434,0.000,0
e9_full_01,FULL,0.340,1.96736,0.000,0
e9_full_01,FULL,0.360,1.64226,0.000,0
e9_full_01,FULL,0.380,1.39378,0.000,0
e9_full_01,FULL,0.400,1.36344,0.000,0
e9_full_01,FULL,0.420,1.09027,0.000,0
e9_full_01,FULL,0.440,1.14027,0.000,0
e9_full_01,FULL,0.460,0.62198,0.000,0
e9_full_01,FULL,0.480,0.60807,0.000,0
e9_full_01,FULL,0.500,0.28579,0.000,0
e9_full_01,FULL,0.520,0.15406,0.000,0
e9_full_01,FULL,0.540,0.37681,0.000,0
e9_full_01,FULL,0.560,-0.11254,0.000,0
e9_full_01,FULL,0.580,-0.08814,0.000,0
e9_full_01,FULL,0.600,-0.08069,0.000,0
e9_full_01,FULL,0.620,-0.16828,0.000,0
e9_full_01,FULL,0.640,-0.08085,0.000,0
e9_full_01,FULL,0.660,-0.50526,0.000,0
e9_full_01,FULL,0.680,-0.50506,0.000,0
e9_full_01,FULL,0.700,-0.46173,0.000,0
e9_full_01,FULL,0.720,-0.49145,0.000,0
e9_full_01,FULL,0.740,-0.73396,0.000,0
e9_full_01,FULL,0.760,-0.55047,0.000,0
e9_full_01,FULL,0.780,-0.46728,0.000,0
e9_full_01,FULL,0.800,-0.99156,0.000,0
e9_full_01,FULL,0.820,-0.85284,0.000,0
e9_full_01,FULL,0.840,-0.97239,0.000,0
e9_full_01,FULL,0.860,-0.75306,0.000,0
e9_full_01,FULL,0.880,-0.93309,0.000,0
e9_full_01,FULL,0.900,-0.76919,0.000,0
e9_full_01,FULL,0.920,-0.75458,0.000,0
e9_full_01,FULL,0.940,-0.69106,0.000,0
e9_full_01,FULL,0.960,-0.83658,0.000,0
e9_full_01,FULL,0.980,-0.55312,0.000,0
e9_full_01,FULL,1.000,-0.67744,0.000,0
e9_full_01,FULL,1.020,-0.60552,0.000,0
e9_full_01,FULL,1.040,-0.42432,0.000,0
e9_full_01,FULL,1.060,-0.72068,0.000,0
e9_full_01,FULL,1.080,-0.58074,0.000,0
e9_full_01,FULL,1.100,-0.68907,0.000,0
e9_full_01,FULL,1.120,-0.37921,0.000,0
e9_full_01,FULL,1.140,-0.53404,0.000,0
e9_full_01,FULL,1.160,-0.41904,0.000,0
e9_full_01,FULL,1.180,-0.56874,0.000,0
e9_full_01,FULL,1.200,-0.35849,0.000,0
e9_full_01,FULL,1.220,-0.31899,0.000,0
e9_full_01,FULL,1.240,-0.38728,0.000,0
e9_full_01,FULL,1.260,-0.35447,0.000,0
e9_full_01,FULL,1.280,-0.40390,0.000,0
e9_full_01,FULL,1.300,-0.13029,0.000,0
e9_full_01,FULL,1.320,-0.34515,0.000,0
e9_full_01,FULL,1.340,-0.24118,0.000,0
e9_full_01,FULL,1.360,-0.12116,0.000,0
e9_full_01,FULL,1.380,-0.36483,0.000,0
e9_full_01,FULL,1.400,-0.31383,0.000,0
e9_full_01,FULL,1.420,-0.02222,0.000,0
e9_full_01,FULL,1.440,-0.20782,0.000,0
e9_full_01,FULL,1.460,0.02283,0.000,0
e9_full_01,FULL,1.480,-0.02271,0.000,0
e9_full_01,FULL,1.500,-0.06539,0.000,0
e9_full_01,FULL,1.520,-0.00876,0.000,0
e9_full_01,FULL,1.540,-0.12217,0.000,0
e9_full_01,FULL,1.560,0.03037,0.000,0
e9_full_01,FULL,1.580,-0.30587,0.000,0
e9_full_01,FULL,1.600,-0.02969,0.000,0
e9_full_01,FULL,1.620,0.15298,0.000,0
e9_full_01,FULL,1.640,0.10340,0.000,0
e9_full_01,FULL,1.660,0.05145,0.000,0
e9_full_01,FULL,1.680,0.10338,0.000,0
e9_full_01,FULL,1.700,-0.03652,0.000,0
e9_full_01,FULL,1.720,-0.10352,0.000,0
e9_full_01,FULL,1.740,0.05026,0.000,0
e9_full_01,FULL,1.760,0.07034,0.000,0
e9_full_01,FULL,1.780,0.02953,0.000,0
e9_full_01,FULL,1.800,-0.16644,0.000,0
e9_full_01,FULL,1.820,-0.07604,0.000,0
e9_full_01,FULL,1.840,0.05229,0.000,0
e9_full_01,FULL,1.860,0.09492,0.000,0
e9_full_01,FULL,1.880,0.29704,0.000,0
e9_full_01,FULL,1.900,-0.05932,0.000,0
e9_full_01,FULL,1.920,-0.05932,0.000,0
e9_full_01,FULL,1.940,0.12594,0.000,0
e9_full_01,FULL,1.960,0.13160,0.000,0
e9_full_01,FULL,1.980,0.13492,0.000,0
e9_full_01,FULL,2.000,0.11867,0.000,0
e9_full_01,FULL,2.020,0.12278,0.000,0
e9_full_01,FULL,2.040,0.18675,0.000,0
e9_full_01,FULL,2.060,0.10020,0.000,0
e9_full_01,FULL,2.080,0.09668,0.000,0
e9_full_01,FULL,2.100,-0.00895,0.000,0
e9_full_01,FULL,2.120,0.17642,0.000,0
e9_full_01,FULL,2.140,0.15198,0.000,0
e9_full_01,FULL,2.160,-0.09041,0.000,0
e9_full_01,FULL,2.180,0.19148,0.000,0
e9_full_01,FULL,2.200,-0.09135,0.000,0
e9_full_01,FULL,2.220,0.05357,0.000,0
e9_full_01,FULL,2.240,-0.08435,0.000,0
e9_full_01,FULL,2.260,0.09519,0.000,0
e9_full_01,FULL,2.280,0.09290,0.000,0
e9_full_01,FULL,2.300,-0.02274,0.000,0
e9_full_01,FULL,2.320,0.03160,0.000,0
e9_full_01,FULL,2.340,-0.04998,0.000,0
e9_full_01,FULL,2.360,-0.10948,0.000,0
e9_full_01,FULL,2.380,0.02098,0.000,0
e9_full_01,FULL,2.400,0.04338,0.000,0
e9_full_01,FULL,2.420,0.04146,0.000,0
e9_full_01,FULL,2.440,-0.01329,0.000,0
e9_full_01,FULL,2.460,0.11315,0.000,0
e9_full_01,FULL,2.480,0.25281,0.000,0
e9_full_01,FULL,2.500,-0.06733,0.000,0
e9_full_01,FULL,2.520,0.00278,0.000,0
e9_full_01,FULL,2.540,-0.18541,0.000,0
e9_full_01,FULL,2.560,0.24322,0.000,0
e9_full_01,FULL,2.580,-0.04844,0.000,0
e9_full_01,FULL,2.600,0.00638,0.000,0
e9_full_01,FULL,2.620,-0.06088,0.000,0
e9_full_01,FULL,2.640,-0.30185,0.000,0
e9_full_01,FULL,2.660,-0.07067,0.000,0
e9_full_01,FULL,2.680,0.07727,0.000,0
e9_full_01,FULL,2.700,0.01845,0.000,0
e9_full_01,FULL,2.720,-0.05499,0.000,0
e9_full_01,FULL,2.740,-0.12436,0.000,0
e9_full_01,FULL,2.760,-0.03452,0.000,0
e9_full_01,FULL,2.780,0.13797,0.000,0
e9_full_01,FULL,2.800,-0.03160,0.000,0
e9_full_01,FULL,2.820,0.14638,0.000,0
e9_full_01,FULL,2.840,0.02954,0.000,0
e9_full_01,FULL,2.860,-0.36063,0.000,0
e9_full_01,FULL,2.880,0.05214,0.000,0
e9_full_01,FULL,2.900,-0.05618,0.000,0
e9_full_01,FULL,2.920,-0.05844,0.000,0
e9_full_01,FULL,2.940,-0.19997,0.000,0
e9_full_01,FULL,2.960,-0.00923,0.000,0
e9_full_01,FULL,2.980,0.02701,0.000,0
e9_full_01,FULL,3.000,0.02663,0.000,0
