# source=synthetic_planning_placeholder_not_measured, provisional=true
# intended_use=controller_ablation_plot_layout_only
trial,mode,test_type,success,peak_pitch_deg,response_time_s,notes
FULL01,FULL,impulse_recovery,1,7.4,0.76,"replace with measured"
FULL02,FULL,impulse_recovery,1,7.8,0.81,"replace with measured"
FULL03,FULL,impulse_recovery,1,8.2,0.84,"replace with measured"
FULL04,FULL,impulse_recovery,1,7.6,0.79,"replace with measured"
FULL05,FULL,impulse_recovery,1,8.0,0.82,"replace with measured"
FULL06,FULL,impulse_recovery,1,8.3,0.86,"replace with measured"
FULL07,FULL,impulse_recovery,1,7.7,0.80,"replace with measured"
FULL08,FULL,impulse_recovery,1,7.9,0.82,"replace with measured"
FULL09,FULL,impulse_recovery,1,8.1,0.85,"replace with measured"
FULL10,FULL,impulse_recovery,1,7.5,0.78,"replace with measured"
FIX01,FIXED_LQR,impulse_recovery,1,8.8,0.96,"replace with measured"
FIX02,FIXED_LQR,impulse_recovery,1,9.1,1.01,"replace with measured"
FIX03,FIXED_LQR,impulse_recovery,1,9.9,1.10,"replace with measured"
FIX04,FIXED_LQR,impulse_recovery,1,9.5,1.04,"replace with measured"
FIX05,FIXED_LQR,impulse_recovery,1,10.2,1.14,"replace with measured"
FIX06,FIXED_LQR,impulse_recovery,1,9.0,0.98,"replace with measured"
FIX07,FIXED_LQR,impulse_recovery,1,9.7,1.08,"replace with measured"
FIX08,FIXED_LQR,impulse_recovery,0,12.1,NA,"planning placeholder failed recovery"
FIX09,FIXED_LQR,impulse_recovery,1,9.4,1.03,"replace with measured"
FIX10,FIXED_LQR,impulse_recovery,1,9.8,1.09,"replace with measured"
RAMP01,NO_RAMP,drive_step,1,8.2,0.41,"replace with measured"
RAMP02,NO_RAMP,drive_step,1,8.7,0.45,"replace with measured"
RAMP03,NO_RAMP,drive_step,1,9.0,0.47,"replace with measured"
RAMP04,NO_RAMP,drive_step,1,8.4,0.43,"replace with measured"
RAMP05,NO_RAMP,drive_step,1,9.1,0.48,"replace with measured"
