trial_id,mode,test_type,success,response_time_s,peak_pitch_deg,protection_triggered,provisional,source
e9_full_01,FULL,impulse_recovery,1,0.757,7.640,0,True,synthetic_planning_placeholder_not_measured
e9_full_02,FULL,impulse_recovery,1,0.861,8.765,0,True,synthetic_planning_placeholder_not_measured
e9_full_03,FULL,impulse_recovery,1,0.777,8.610,0,True,synthetic_planning_placeholder_not_measured
e9_full_04,FULL,impulse_recovery,1,0.948,8.354,0,True,synthetic_planning_placeholder_not_measured
e9_full_05,FULL,impulse_recovery,1,0.682,8.597,0,True,synthetic_planning_placeholder_not_measured
e9_full_06,FULL,impulse_recovery,1,0.753,8.860,0,True,synthetic_planning_placeholder_not_measured
e9_full_07,FULL,impulse_recovery,1,0.919,6.578,0,True,synthetic_planning_placeholder_not_measured
e9_full_08,FULL,impulse_recovery,1,0.823,7.837,0,True,synthetic_planning_placeholder_not_measured
e9_full_09,FULL,impulse_recovery,1,0.921,7.895,0,True,synthetic_planning_placeholder_not_measured
e9_full_10,FULL,impulse_recovery,1,0.816,7.741,0,True,synthetic_planning_placeholder_not_measured
e9_fixed_lqr_01,FIXED_LQR,impulse_recovery,1,1.055,10.648,0,True,synthetic_planning_placeholder_not_measured
e9_fixed_lqr_02,FIXED_LQR,impulse_recovery,1,1.022,9.424,0,True,synthetic_planning_placeholder_not_measured
e9_fixed_lqr_03,FIXED_LQR,impulse_recovery,1,1.069,9.582,0,True,synthetic_planning_placeholder_not_measured
e9_fixed_lqr_04,FIXED_LQR,impulse_recovery,1,1.172,9.053,0,True,synthetic_planning_placeholder_not_measured
e9_fixed_lqr_05,FIXED_LQR,impulse_recovery,1,1.023,9.595,0,True,synthetic_planning_placeholder_not_measured
e9_fixed_lqr_06,FIXED_LQR,impulse_recovery,1,1.051,8.963,0,True,synthetic_planning_placeholder_not_measured
e9_fixed_lqr_07,FIXED_LQR,impulse_recovery,1,0.995,9.581,0,True,synthetic_planning_placeholder_not_measured
e9_fixed_lqr_08,FIXED_LQR,impulse_recovery,1,1.006,9.837,0,True,synthetic_planning_placeholder_not_measured
e9_fixed_lqr_09,FIXED_LQR,impulse_recovery,1,1.047,9.414,0,True,synthetic_planning_placeholder_not_measured
e9_fixed_lqr_10,FIXED_LQR,impulse_recovery,0,NA,12.404,1,True,synthetic_planning_placeholder_not_measured
e9_no_ramp_01,NO_RAMP,drive_step,1,0.457,9.739,0,True,synthetic_planning_placeholder_not_measured
e9_no_ramp_02,NO_RAMP,drive_step,1,0.533,10.322,0,True,synthetic_planning_placeholder_not_measured
e9_no_ramp_03,NO_RAMP,drive_step,1,0.461,9.093,0,True,synthetic_planning_placeholder_not_measured
e9_no_ramp_04,NO_RAMP,drive_step,1,0.439,9.046,0,True,synthetic_planning_placeholder_not_measured
e9_no_ramp_05,NO_RAMP,drive_step,1,0.510,8.558,0,True,synthetic_planning_placeholder_not_measured
e9_no_ramp_06,NO_RAMP,drive_step,1,0.484,9.263,0,True,synthetic_planning_placeholder_not_measured
e9_no_ramp_07,NO_RAMP,drive_step,1,0.459,9.115,0,True,synthetic_planning_placeholder_not_measured
e9_no_ramp_08,NO_RAMP,drive_step,1,0.419,9.237,0,True,synthetic_planning_placeholder_not_measured
e9_no_ramp_09,NO_RAMP,drive_step,1,0.476,9.566,0,True,synthetic_planning_placeholder_not_measured
e9_no_ramp_10,NO_RAMP,drive_step,1,0.523,7.725,0,True,synthetic_planning_placeholder_not_measured
